season,player_name,injuries
2024,P.J. Locke,['Thumb']
2024,Ronnie Hickman,['Ankle']
2024,Jordan Hicks,['Elbow']
2024,Jedrick Wills Jr.,['Knee']
2024,Derius Davis,['Hamstring']
2024,Justin Simmons,['Hamstring']
2024,David Onyemata,['NIR-Rest']
2024,Grady Jarrett,['NIR-Rest']
2024,Derek Carr,['Oblique']
2024,Nick Saldiveri,['Shoulder']
2024,Cedrick Wilson Jr.,['Hip']
2024,Brandon Coleman,['Concussion']
2024,Zach Ertz,['NIR - Rest']
2024,Ja'Lynn Polk,['Concussion']
2024,Brenden Schooler,['Illness']
2024,Layden Robinson,['Ankle']
2024,Jonathan Jones,['Shoulder']
2024,Daniel Ekuale,['Abdomen']
2024,Josh Paschal,['Illness']
2024,MyCole Pruitt,['Knee']
2024,Roman Wilson,['Hamstring']
2024,Nick Herbig,['Hamstring']
2024,Zach Frazier,['Ankle']
2024,Mike Danna,['Pectoral']
2024,JuJu Smith-Schuster,['Hamstring']
2024,Kevin Givens,['Groin']
2024,Jauan Jennings,['Hip']
2024,Jake Moody,['Ankle']
2024,Mike Evans,['Hamstring']
2024,Tykee Smith,['Concussion']
2024,Greg Gaines,['Calf']
2024,Terron Armstead,['Rest']
2024,Calais Campbell,['Rest']
2024,Storm Duck,['Ankle']
2024,Tyler Huntley,['Shoulder']
2024,Kader Kohou,['Neck']
2024,Tyreek Hill,['Foot']
2024,Zach Sieler,['Eye']
2024,Troy Reeder,['Hamstring']
2024,Tre'Davious White,['NIR - Rest']
2024,Jordan Whittington,['Shoulder']
2024,Tony Adams,['Hamstring']
2024,Ashtyn Davis,['Concussion']
2024,Leki Fotu,['Knee']
2024,Allen Lazard,['Chest']
2024,Alijah Vera-Tucker,['Ankle']
2024,Jaquan Brisker,['Concussion']
2024,Kyler Gordon,['Hamstring']
2024,Corey Ballentine,['Ankle']
2024,Harrison Bryant,['Elbow']
2024,Dylan Parham,['Foot']
2024,Azeez Al-Shaair,['Knee']
2024,Jimmie Ward,['Groin']
2024,Mekhi Becton,['Concussion']
2024,Dallas Goedert,['Hamstring']
2024,Byron Young,['Hamstring']
2024,Brandon Aubrey,['Non-injury']
2024,DaRon Bland,['Foot']
2024,Micah Parsons,['Ankle']
