Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Fumbles Lost,Field Goals Attempted 0-19,Field Goals Made 0-19,Field Goals Attempted 20-29,Field Goals Made 20-29,Field Goals Attempted 30-39,Field Goals Made 30-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Made,Extra Points Attempted,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP
Ben Sinnott,22.0,2024,TE,WAS,17.0,2.0,,,,,,0.0,0.0,0.0,5.0,5.0,28.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,161.0,233.0,253.0,215.7,24
Ben Skowronek,27.0,2024,WR,PIT,10.0,1.0,,,,,,0.0,0.0,0.0,5.0,5.0,69.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,679.0,301.0,679.0,189
Bijan Robinson,22.0,2024,RB,ATL,17.0,17.0,,,,,,304.0,1456.0,14.0,72.0,61.0,431.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,8.0,4.0,5.0,2
Blake Corum,24.0,2024,RB,LAR,17.0,1.0,,,,,,58.0,207.0,0.0,8.0,7.0,58.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,120.0,147.0,103.0,128.0,40
Blake Grupe,26.0,2024,K,NOR,17.0,0.0,,,,,,,,,,,,,,,0.0,0.0,4.0,4.0,11.0,10.0,8.0,7.0,8.0,6.0,31.0,27.0,31.0,33.0,,,,,,,,,,,,,,,,,,,,,,277.0,301.0,210.0,301.0,231.0,24
Blake Watson,25.0,2024,RB,DEN,2.0,0.0,,,,,,4.0,10.0,0.0,2.0,1.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.0,301.0,722.0,301.0,562.5,109
Blake Whiteheart,24.0,2024,TE,CLE,11.0,2.0,,,,,,0.0,0.0,0.0,9.0,6.0,51.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,877.0,301.0,877.0,109
Bo Melton,25.0,2024,WR,GNB,17.0,0.0,,,,,,8.0,54.0,0.0,17.0,8.0,91.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,301.0,458.0,301.0,389.0,124
Bo Nix,24.0,2024,QB,DEN,17.0,17.0,567.0,376.0,3775.0,29.0,12.0,92.0,430.0,4.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,192.0,174.0,201.0,184.6,23
Braden Mann,27.0,2024,K,PHI,17.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
