ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Player Name
181.0,181.0,105.0,197.0,166.0,New England Patriots DST
166.0,164.0,186.0,149.0,166.3,Jameis Winston
179.0,152.0,80.0,255.0,166.5,Younghoe Koo
182.0,186.0,139.0,168.0,168.8,Mecole Hardman Jr.
184.0,157.0,165.0,170.0,169.0,Denver Broncos DST
158.0,220.0,104.0,195.0,169.3,Miami Dolphins DST
190.0,131.0,184.0,172.0,169.3,Albert Okwuegbunam Jr.
168.0,177.0,205.0,130.0,170.0,Jamaal Williams
141.0,166.0,132.0,249.0,172.0,Nick Folk
171.0,187.0,170.0,161.0,172.3,Matt Ryan
138.0,151.0,192.0,214.0,173.8,Brandon McManus
151.0,160.0,241.0,147.0,174.8,Jahan Dotson
147.0,176.0,148.0,228.0,174.8,Pittsburgh Steelers DST
162.0,169.0,240.0,132.0,175.8,Irv Smith Jr.
180.0,154.0,213.0,158.0,176.3,Romeo Doubs
200.0,173.0,175.0,157.0,176.3,Isaiah McKenzie
201.0,179.0,180.0,151.0,177.8,Robert Tonyan
194.0,199.0,106.0,217.0,179.0,Ryan Succop
203.0,159.0,174.0,180.0,179.0,Mark Ingram II O
176.0,162.0,254.0,133.0,181.3,Khalil Herbert
175.0,215.0,168.0,183.0,185.3,Ryan Tannehill O
185.0,167.0,265.0,128.0,186.3,Tyler Allgeier
202.0,161.0,217.0,165.0,186.3,Rondale Moore
173.0,185.0,167.0,227.0,188.0,Mac Jones
217.0,194.0,161.0,185.0,189.3,Gerald Everett
219.0,163.0,266.0,124.0,193.0,Rachaad White
191.0,217.0,177.0,190.0,193.8,Evan Engram
196.0,195.0,155.0,232.0,194.5,Deshaun Watson
174.0,202.0,193.0,212.0,195.3,Baker Mayfield
172.0,200.0,179.0,238.0,197.3,Philadelphia Eagles DST
188.0,201.0,199.0,204.0,198.0,Cleveland Browns DST
225.0,178.0,252.0,150.0,201.3,Zamir White
189.0,184.0,173.0,259.0,201.3,Robbie Gould
212.0,192.0,216.0,188.0,202.0,Odell Beckham Jr.
164.0,204.0,260.0,181.0,202.3,Joshua Palmer
197.0,175.0,162.0,,178.0,Isiah Pacheco
