Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Fumbles Lost,Field Goals Attempted 0-19,Field Goals Made 0-19,Field Goals Attempted 20-29,Field Goals Made 20-29,Field Goals Attempted 30-39,Field Goals Made 30-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Made,Extra Points Attempted,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP,PPR Fantasy Points Scored,Standard Fantasy Points Scored
Austin Seibert,26.0,2022,K,DET,3.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,5.0,3.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,208.0,301.0,208.0,17,21.0,21.0
Austin Trammell,24.0,2022,WR,LAR,6.0,0.0,,,,,,0.0,0.0,0.0,4.0,2.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,3.3,1.3
Avery Williams,24.0,2022,RB,ATL,17.0,3.0,,,,,,22.0,109.0,1.0,14.0,13.0,61.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,36.0,23.0
Bailey Zappe,23.0,2022,QB,NWE,4.0,2.0,92.0,65.0,781.0,5.0,3.0,10.0,0.0,0.0,1.0,1.0,-6.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,45.64,44.64
Baker Mayfield,27.0,2022,QB,2TM,12.0,10.0,335.0,201.0,2163.0,10.0,8.0,31.0,89.0,1.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,202.0,193.0,212.0,195.3,24,125.42,125.42
Baltimore Ravens DST,,2022,DEF,BAL,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5513.0,1047.0,25.0,323.0,3947.0,20.0,1566.0,11.0,79.0,650.0,26.0,35.8,13.9,48.0,14.0,11.0,14.0,0.0,1.0,18.0,,119.0,125.0,171.0,224.0,159.8,10,122.0,122.0
Ben Ellefson,26.0,2022,TE,MIN,4.0,1.0,,,,,,0.0,0.0,0.0,3.0,3.0,26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,5.6,2.6
Ben Skowronek,25.0,2022,WR,LAR,14.0,11.0,,,,,,1.0,17.0,1.0,61.0,39.0,376.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,84.30000000000001,45.3
Benny Snell Jr.,24.0,2022,RB,PIT,17.0,0.0,,,,,,20.0,90.0,1.0,2.0,2.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,18.7,16.7
Blaine Gabbert,33.0,2022,QB,TAM,1.0,0.0,8.0,6.0,29.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,5.16,5.16
