Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP,PPR Fantasy Points Scored,Standard Fantasy Points Scored,Total_Injuries
Alexander Mattison,24.0,2022,RB,MIN,17.0,0.0,,,,,,74.0,283.0,5.0,18.0,15.0,91.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,124.0,142.0,120.0,135.0,42.0,88.4,73.4,1.0
Allen Lazard,27.0,2022,WR,GNB,15.0,15.0,,,,,,2.0,0.0,0.0,100.0,60.0,788.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,93.0,135.0,91.0,104.5,43.0,174.8,114.8,2.0
Allen Robinson,29.0,2022,WR,LAR,10.0,10.0,,,,,,0.0,0.0,0.0,52.0,33.0,339.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,57.0,63.0,62.0,62.8,24.0,84.9,51.9,0.0
Alvin Kamara,27.0,2022,RB,NOR,15.0,13.0,,,,,,223.0,897.0,2.0,77.0,57.0,490.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,15.0,16.0,12.0,13.3,8.0,211.7,154.7,1.0
Amari Cooper,28.0,2022,WR,CLE,17.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,132.0,78.0,1160.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,59.0,64.0,78.0,67.8,28.0,246.0,168.0,1.0
Amari Rodgers,23.0,2022,WR,2TM,16.0,1.0,,,,,,2.0,7.0,0.0,25.0,16.0,204.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,31.1,15.1,0.0
Ameer Abdullah,29.0,2022,RB,LVR,17.0,0.0,,,,,,4.0,20.0,0.0,32.0,25.0,211.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.0,203.0,242.5,75.0,54.1,29.1,0.0
Amon-Ra St. Brown,23.0,2022,WR,DET,16.0,16.0,,,,,,9.0,95.0,0.0,146.0,106.0,1161.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,68.0,75.0,53.0,63.5,25.0,267.6,161.6,1.0
Andre Baccellia,25.0,2022,WR,ARI,8.0,0.0,,,,,,0.0,0.0,0.0,10.0,7.0,45.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,11.5,4.5,0.0
Andrew Beck,26.0,2022,TE,DEN,13.0,4.0,,,,,,2.0,0.0,0.0,11.0,5.0,69.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,11.9,6.9,4.0
Andy Dalton,35.0,2022,QB,NOR,14.0,14.0,378.0,252.0,2871.0,18.0,9.0,30.0,54.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,164.24,164.24,0.0
Andy Isabella,26.0,2022,WR,2TM,5.0,0.0,,,,,,1.0,1.0,0.0,5.0,2.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,4.2,2.2,1.0
Andy Lee,40.0,2022,K,ARI,17.0,0.0,1.0,1.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,0.0,0.0,0.0
Anthony Brown,24.0,2022,QB,BAL,2.0,1.0,49.0,22.0,302.0,0.0,2.0,3.0,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,5.58,5.58,1.0
Anthony Firkser,27.0,2022,RB,ATL,11.0,1.0,,,,,,0.0,0.0,0.0,13.0,9.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,19.0,10.0,0.0
Anthony McFarland Jr.,24.0,2022,RB,PIT,1.0,0.0,,,,,,6.0,30.0,0.0,2.0,2.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,6.1,4.1,0.0
Anthony Schwartz,22.0,2022,WR,CLE,11.0,1.0,,,,,,4.0,57.0,1.0,10.0,4.0,51.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,18.8,14.8,0.0
Antonio Gibson,24.0,2022,RB,WAS,15.0,6.0,,,,,,149.0,546.0,3.0,58.0,46.0,353.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,56.0,58.0,61.0,64.8,25.0,163.9,117.9,1.0
Arizona Cardinals DST,,2022,DEF,ARI,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,5931.0,1075.0,20.0,363.0,3915.0,29.0,2016.0,21.0,94.0,757.0,21.0,41.6,10.5,36.0,11.0,9.0,11.0,0.0,5.0,0.0,,,,191.0,276.0,233.5,23.0,106.0,106.0,0.0
Armani Rogers,25.0,2022,TE,WAS,11.0,3.0,,,,,,2.0,26.0,0.0,6.0,5.0,64.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,14.0,9.0,0.0
Arryn Siposs,30.0,2022,K,PHI,13.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,0.0,0.0,0.0
Ashton Dulin,25.0,2022,WR,IND,12.0,2.0,,,,,,2.0,8.0,0.0,22.0,15.0,207.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,42.5,27.5,1.0
Atlanta Falcons DST,,2022,DEF,ATL,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,6156.0,1082.0,17.0,351.0,3942.0,26.0,2214.0,15.0,100.0,804.0,15.0,43.5,10.0,21.0,10.0,7.0,8.0,1.0,3.0,0.0,,,,,,301.0,97.0,75.0,75.0,0.0
Austin Ekeler,27.0,2022,RB,LAC,17.0,17.0,,,,,,204.0,915.0,13.0,127.0,107.0,722.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,3.0,3.8,3.0,368.7,261.7,0.0
Austin Hooper,28.0,2022,TE,TEN,17.0,2.0,,,,,,0.0,0.0,0.0,60.0,41.0,444.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,206.0,220.0,211.0,209.0,25.0,97.4,56.4,0.0
Austin Seibert,26.0,2022,K,DET,3.0,0.0,,,,,,,,,,,,,,1.0,1.0,3.0,2.0,1.0,0.0,5.0,3.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,208.0,,208.0,17.0,21.0,21.0,1.0
Austin Trammell,24.0,2022,WR,LAR,6.0,0.0,,,,,,0.0,0.0,0.0,4.0,2.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,3.3,1.3,0.0
Avery Williams,24.0,2022,RB,ATL,17.0,3.0,,,,,,22.0,109.0,1.0,14.0,13.0,61.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,34.0,21.0,0.0
Bailey Zappe,23.0,2022,QB,NWE,4.0,2.0,92.0,65.0,781.0,5.0,3.0,10.0,0.0,0.0,1.0,1.0,-6.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,37.64,36.64,0.0
Baker Mayfield,27.0,2022,QB,2TM,12.0,10.0,335.0,201.0,2163.0,10.0,8.0,31.0,89.0,1.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,202.0,193.0,212.0,195.3,24.0,107.42,107.42,1.0
Baltimore Ravens DST,,2022,DEF,BAL,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,5513.0,1047.0,25.0,323.0,3947.0,20.0,1566.0,11.0,79.0,650.0,26.0,35.8,13.9,48.0,14.0,11.0,14.0,0.0,1.0,0.0,,119.0,125.0,171.0,224.0,159.8,10.0,104.0,104.0,0.0
Ben Ellefson,26.0,2022,TE,MIN,4.0,1.0,,,,,,0.0,0.0,0.0,3.0,3.0,26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,5.6,2.6,2.0
Ben Skowronek,25.0,2022,WR,LAR,14.0,11.0,,,,,,1.0,17.0,1.0,61.0,39.0,376.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,84.3,45.3,3.0
Benny Snell Jr.,24.0,2022,RB,PIT,17.0,0.0,,,,,,20.0,90.0,1.0,2.0,2.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,18.7,16.7,0.0
Blaine Gabbert,33.0,2022,QB,TAM,1.0,0.0,8.0,6.0,29.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,5.16,5.16,0.0
Blake Bell,31.0,2022,TE,KAN,3.0,1.0,,,,,,0.0,0.0,0.0,2.0,2.0,20.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,10.0,8.0,0.0
Boston Scott,27.0,2022,RB,PHI,15.0,2.0,,,,,,54.0,217.0,3.0,6.0,5.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0,239.0,262.0,82.0,46.2,41.2,1.0
Braden Mann,25.0,2022,K,NYJ,17.0,0.0,2.0,1.0,17.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,0.0,0.0,0.0
Bradley Pinion,28.0,2022,K,ATL,17.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,0.0,0.0,1.0
Brandin Cooks,29.0,2022,WR,HOU,13.0,13.0,,,,,,2.0,7.0,0.0,93.0,57.0,699.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,61.0,55.0,59.0,56.0,20.0,145.6,88.6,4.0
Brandon Aiyuk,24.0,2022,WR,SFO,17.0,17.0,,,,,,2.0,23.0,0.0,114.0,78.0,1015.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,98.0,97.0,94.0,98.0,39.0,227.8,149.8,0.0
Brandon Allen,30.0,2022,QB,CIN,1.0,0.0,3.0,3.0,22.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,0.78,0.78,0.0
Brandon Bolden,32.0,2022,RB,LVR,16.0,0.0,,,,,,17.0,66.0,0.0,9.0,9.0,57.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.0,,281.0,85.0,27.3,18.3,1.0
Brandon Johnson,24.0,2022,WR,DEN,7.0,1.0,,,,,,0.0,0.0,0.0,14.0,6.0,42.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,14.2,8.2,0.0
Brandon McManus,31.0,2022,K,DEN,17.0,0.0,,,,,,,,,,,,,,13.0,10.0,10.0,10.0,13.0,8.0,36.0,28.0,27.0,25.0,,,,,,,,,,,,,,,,,,,,,,138.0,151.0,192.0,214.0,173.8,11.0,123.0,123.0,0.0
Brandon Powell,27.0,2022,WR,LAR,17.0,6.0,,,,,,17.0,80.0,0.0,32.0,24.0,156.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,45.6,21.6,1.0
Braxton Berrios,27.0,2022,WR,NYJ,17.0,2.0,1.0,1.0,2.0,1.0,0.0,9.0,91.0,2.0,32.0,18.0,145.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,252.0,84.0,55.68,37.68,0.0
Braylon Sanders,23.0,2022,WR,MIA,3.0,0.0,,,,,,0.0,0.0,0.0,3.0,2.0,17.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,1.7,-0.3,0.0
Breece Hall,21.0,2022,RB,NYJ,7.0,2.0,,,,,,80.0,463.0,4.0,31.0,19.0,218.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,46.0,70.0,45.0,52.3,23.0,115.1,96.1,0.0
Breshad Perriman,29.0,2022,WR,TAM,11.0,3.0,,,,,,2.0,-7.0,0.0,19.0,9.0,110.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,21.3,12.3,1.0
Brett Maher,33.0,2022,K,DAL,17.0,0.0,,,,,,,,,,,,,,14.0,14.0,7.0,6.0,11.0,9.0,32.0,29.0,53.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,238.0,,238.0,25.0,152.0,152.0,0.0
Brett Rypien,26.0,2022,QB,DEN,4.0,2.0,88.0,53.0,483.0,2.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,12.02,12.02,0.0
Brevin Jordan,22.0,2022,TE,HOU,11.0,3.0,,,,,,0.0,0.0,0.0,28.0,14.0,128.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0,223.0,28.0,26.8,12.8,3.0
Brian Hoyer,37.0,2022,QB,NWE,1.0,1.0,6.0,5.0,37.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,1.48,1.48,1.0
Brian Robinson Jr.,23.0,2022,RB,WAS,12.0,9.0,,,,,,205.0,797.0,2.0,12.0,9.0,60.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,156.0,158.0,136.0,153.8,46.0,108.7,99.7,0.0
Brock Purdy,23.0,2022,QB,SFO,9.0,5.0,170.0,114.0,1374.0,13.0,4.0,22.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,106.26,106.26,0.0
Brock Wright,24.0,2022,TE,DET,17.0,10.0,,,,,,0.0,0.0,0.0,24.0,18.0,216.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,63.6,45.6,0.0
Bryan Anger,34.0,2022,K,DAL,17.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,0.0,0.0,1.0
Bryan Edwards,24.0,2022,WR,ATL,7.0,1.0,,,,,,0.0,0.0,0.0,5.0,3.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,4.5,1.5,0.0
Bryce Perkins,26.0,2022,QB,LAR,5.0,1.0,34.0,19.0,161.0,1.0,2.0,19.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,15.44,15.44,0.0
Brycen Hopkins,25.0,2022,TE,LAR,14.0,1.0,,,,,,0.0,0.0,0.0,11.0,7.0,109.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,17.9,10.9,0.0
Buffalo Bills DST,,2022,DEF,BUF,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,5106.0,997.0,27.0,313.0,3433.0,21.0,1673.0,10.0,89.0,754.0,29.0,31.0,14.3,40.0,17.0,10.0,10.0,2.0,3.0,0.0,,80.0,94.0,65.0,129.0,92.0,1.0,116.0,116.0,0.0
Byron Pringle,29.0,2022,WR,CHI,11.0,4.0,,,,,,0.0,0.0,0.0,16.0,10.0,135.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0,,289.0,95.0,35.5,25.5,0.0
C.J. Beathard,29.0,2022,QB,JAX,4.0,0.0,11.0,7.0,35.0,0.0,1.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,-1.0,-1.0,0.0
C.J. Board,29.0,2022,WR,TEN,4.0,0.0,,,,,,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,-0.4,-1.4,1.0
C.J. Ham,29.0,2022,RB,MIN,17.0,4.0,,,,,,4.0,7.0,2.0,12.0,10.0,86.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,31.3,21.3,0.0
C.J. Uzomah,29.0,2022,TE,NYJ,15.0,13.0,,,,,,0.0,0.0,0.0,27.0,21.0,232.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,,215.0,26.0,56.2,35.2,2.0
Cade Johnson,24.0,2022,WR,SEA,3.0,0.0,,,,,,0.0,0.0,0.0,4.0,2.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,4.1,2.1,0.0
Cade Otton,23.0,2022,TE,TAM,16.0,11.0,,,,,,0.0,0.0,0.0,65.0,42.0,391.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,93.1,51.1,1.0
Cade York,21.0,2022,K,CLE,17.0,0.0,,,,,,,,,,,,,,17.0,14.0,8.0,6.0,7.0,4.0,32.0,24.0,37.0,35.0,,,,,,,,,,,,,,,,,,,,,,204.0,,248.0,250.0,234.0,24.0,109.0,109.0,0.0
Cairo Santos,31.0,2022,K,CHI,16.0,0.0,,,,,,,,,,,,,,11.0,11.0,7.0,6.0,5.0,4.0,23.0,21.0,32.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,230.0,,230.0,23.0,92.0,92.0,1.0
Caleb Huntley,24.0,2022,RB,ATL,12.0,0.0,,,,,,76.0,366.0,1.0,2.0,2.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,42.9,40.9,0.0
Caleb Shudak,25.0,2022,K,TEN,1.0,0.0,,,,,,,,,,,,,,4.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,9.0,9.0,0.0
Cam Akers,23.0,2022,RB,LAR,15.0,9.0,,,,,,188.0,786.0,7.0,18.0,13.0,117.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,37.0,53.0,36.0,39.8,18.0,141.3,128.3,2.0
Cam Sims,26.0,2022,WR,WAS,17.0,3.0,,,,,,0.0,0.0,0.0,18.0,8.0,89.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,16.9,8.9,0.0
Cameron Brate,31.0,2022,TE,TAM,11.0,1.0,,,,,,0.0,0.0,0.0,38.0,20.0,174.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.0,212.0,269.0,240.0,30.0,37.4,17.4,2.0
Cameron Dicker,22.0,2022,K,2TM,11.0,0.0,,,,,,,,,,,,,,14.0,14.0,7.0,7.0,1.0,0.0,22.0,21.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,93.0,93.0,0.0
Carolina Panthers DST,,2022,DEF,CAR,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,5953.0,1103.0,17.0,346.0,3868.0,25.0,2085.0,17.0,105.0,866.0,27.0,34.2,8.3,35.0,10.0,7.0,7.0,0.0,3.0,0.0,,,,228.0,274.0,251.0,25.0,87.0,87.0,0.0
Carson Wentz,30.0,2022,QB,WAS,8.0,7.0,276.0,172.0,1755.0,11.0,9.0,22.0,86.0,1.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,,226.0,222.0,208.3,25.0,98.8,98.8,0.0
Case Keenum,34.0,2022,QB,BUF,2.0,0.0,7.0,2.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,0.32,0.32,1.0
Cedrick Wilson Jr.,27.0,2022,WR,MIA,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,18.0,12.0,136.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.0,,278.0,91.0,26.4,14.4,0.0
CeeDee Lamb,23.0,2022,WR,DAL,17.0,17.0,,,,,,10.0,47.0,0.0,156.0,107.0,1359.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,17.0,21.0,21.0,19.5,7.0,301.6,194.6,1.0
Chad Henne,37.0,2022,QB,KAN,3.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,-2.5,-2.5,0.0
Charlie Kolar,23.0,2022,TE,BAL,2.0,0.0,,,,,,0.0,0.0,0.0,6.0,4.0,49.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,8.9,4.9,0.0
Charlie Woerner,25.0,2022,TE,SFO,17.0,2.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,0.0,0.0,0.0
Chase Claypool,24.0,2022,WR,PIT,8.0,8.0,1.0,1.0,1.0,1.0,0.0,9.0,59.0,0.0,79.0,46.0,451.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,114.0,118.0,122.0,116.3,45.0,105.04,59.04,2.0
