Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP
Brian Johnson,22.0,2021,K,2TM,7.0,0.0,,,,,,,,,,,,,,8.0,8.0,1.0,1.0,1.0,1.0,10.0,10.0,13.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Wright,23.0,2021,TE,DET,10.0,5.0,,,,,,0.0,0.0,0.0,17.0,12.0,117.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Edwards,23.0,2021,WR,LVR,16.0,12.0,,,,,,1.0,0.0,0.0,59.0,34.0,571.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0,191.0,262.0,191.0,207.4,68.0
Brycen Hopkins,24.0,2021,TE,LAR,5.0,0.0,,,,,,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddy Howell,25.0,2021,RB,LAR,10.0,0.0,,,,,,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byron Pringle,28.0,2021,WR,KAN,17.0,5.0,,,,,,0.0,0.0,0.0,60.0,42.0,568.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,267.0,85.0
C.J. Beathard,28.0,2021,QB,JAX,2.0,0.0,2.0,2.0,33.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Board,28.0,2021,WR,NYG,6.0,1.0,,,,,,1.0,6.0,0.0,6.0,4.0,51.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Ham,28.0,2021,RB,MIN,17.0,8.0,,,,,,7.0,34.0,0.0,18.0,17.0,125.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Saunders,25.0,2021,WR,CAR,2.0,0.0,,,,,,0.0,0.0,0.0,2.0,2.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Uzomah,28.0,2021,TE,CIN,16.0,16.0,,,,,,0.0,0.0,0.0,63.0,49.0,493.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,308.0,35.0
Cairo Santos,30.0,2021,K,CHI,17.0,0.0,,,,,,,,,,,,,,15.0,15.0,13.0,11.0,2.0,0.0,30.0,26.0,28.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,171.0,,249.5,20.0
Calvin Ridley,27.0,2021,WR,ATL,5.0,5.0,,,,,,0.0,0.0,0.0,52.0,31.0,281.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,19.0,18.0,18.0,18.4,5.0
