Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP
Juwann Winfree,27.0,2023,WR,IND,8.0,1.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
K.J. Osborn,26.0,2023,WR,MIN,16.0,12.0,,,,,,0.0,0.0,0.0,75.0,48.0,540.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,213.0,220.0,167.0,192.3,67
Ka'imi Fairbairn,29.0,2023,K,HOU,12.0,0.0,,,,,,,,,,,,,,20.0,20.0,2.0,2.0,6.0,5.0,28.0,27.0,22.0,21.0,,,,,,,,,,,,,,,,,,,,,,340.0,301.0,239.0,301.0,289.5,33
KaVontae Turpin,27.0,2023,WR,DAL,16.0,0.0,,,,,,11.0,110.0,1.0,18.0,12.0,127.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.0,301.0,301.0,301.0,295.0,105
Kadarius Toney,24.0,2023,WR,KAN,13.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,31.0,0.0,38.0,27.0,169.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,99.0,90.0,124.0,116.8,47
Kalif Raymond,29.0,2023,WR,DET,17.0,3.0,,,,,,7.0,75.0,0.0,44.0,35.0,489.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Kareem Hunt,28.0,2023,RB,CLE,15.0,2.0,,,,,,135.0,411.0,9.0,21.0,15.0,84.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.0,186.0,286.0,144.0,212.5,66
Kayshon Boutte,21.0,2023,WR,NWE,5.0,0.0,,,,,,0.0,0.0,0.0,7.0,2.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.0,301.0,301.0,301.0,410.0,134
Ke'Shawn Vaughn,26.0,2023,RB,TAM,6.0,0.0,,,,,,24.0,42.0,0.0,5.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Keaontay Ingram,24.0,2023,RB,ARI,8.0,1.0,,,,,,35.0,74.0,0.0,4.0,4.0,26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,262.0,301.0,258.0,260.0,76
Keaton Mitchell,21.0,2023,RB,BAL,8.0,2.0,,,,,,47.0,396.0,2.0,11.0,9.0,93.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
