Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP,PPR Fantasy Points Scored,Standard Fantasy Points Scored
Jalen Guyton,23.0,2020,WR,LAC,16.0,9.0,,,,,,2.0,0.0,0.0,55.0,28.0,511.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1,69.1
Jalen Hurts,22.0,2020,QB,PHI,15.0,4.0,148.0,77.0,1061.0,6.0,4.0,63.0,354.0,3.0,1.0,1.0,3.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.0,,,,245.5,29.0,95.14,94.14
Jalen Reagor,21.0,2020,WR,PHI,11.0,11.0,,,,,,4.0,26.0,0.0,54.0,31.0,396.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,,,172.0,160.5,56.0,75.2,44.2
Jalen Richard,27.0,2020,RB,LVR,13.0,0.0,,,,,,22.0,123.0,1.0,23.0,19.0,138.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,221.5,68.0,49.1,30.1
Jamaal Williams,25.0,2020,RB,GNB,14.0,3.0,,,,,,119.0,505.0,2.0,35.0,31.0,236.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,176.0,174.0,55.0,127.1,96.1
Jamal Agnew,25.0,2020,WR,DET,14.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,33.0,0.0,20.0,13.0,89.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,8.2
Jameis Winston,26.0,2020,QB,NOR,4.0,0.0,11.0,7.0,75.0,0.0,0.0,8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.0,,,,287.5,40.0,2.4,2.4
James Conner,25.0,2020,RB,PIT,13.0,11.0,,,,,,169.0,721.0,6.0,43.0,35.0,215.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,26.0,34.8,17.0,160.6,125.6
James O'Shaughnessy,28.0,2020,TE,JAX,15.0,13.0,,,,,,0.0,0.0,0.0,38.0,28.0,262.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,26.2
James Proche,24.0,2020,WR,BAL,14.0,0.0,,,,,,0.0,0.0,0.0,3.0,1.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.0,,,,446.0,136.0,2.4,1.4
James Robinson,22.0,2020,RB,JAX,14.0,14.0,0.0,0.0,0.0,0.0,0.0,240.0,1070.0,7.0,60.0,49.0,344.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,,,171.0,245.7,76.0,244.4,195.4
James Washington,24.0,2020,WR,PIT,16.0,7.0,,,,,,0.0,0.0,0.0,56.0,30.0,392.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,211.5,71.0,99.2,69.2
James White,28.0,2020,RB,NWE,14.0,0.0,,,,,,35.0,121.0,2.0,62.0,49.0,375.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,71.0,80.8,30.0,114.6,65.6
Jamie Gillan,23.0,2020,K,CLE,16.0,0.0,,,,,,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,-1.0
Jamison Crowder,27.0,2020,WR,NYJ,12.0,7.0,1.0,1.0,43.0,1.0,0.0,1.0,14.0,0.0,89.0,59.0,699.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,111.0,104.8,39.0,172.02,113.02
Jamycal Hasty,24.0,2020,RB,SFO,8.0,0.0,,,,,,39.0,148.0,1.0,8.0,7.0,33.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,22.1
