Player Name,2022 Age,2022 Position,2022 Team,2022 Games Played,2022 Games Started,2022 Passing Attempts,2022 Passing Completions,2022 Passing Yards,2022 Passing Touchdowns,2022 Interceptions Thrown,2022 Rushing Attempts,2022 Rushing Yards,2022 Rushing Touchdowns,2022 Targets,2022 Receptions,2022 Receiving Yards,2022 Receiving Touchdowns,2022 Fumbles,2022 Field Goals Attempted 0-39,2022 Field Goals Made 0-39,2022 Field Goals Attempted 40-49,2022 Field Goals Made 40-49,2022 Field Goals Attempted 50+,2022 Field Goals Made 50+,2022 Field Goals Attempted,2022 Field Goals Made,2022 Extra Points Attempted,2022 Extra Points Made,2022 Total Yards Allowed,2022 Total Plays,2022 Takeaways,2022 First Downs Allowed,2022 Passing Yards Allowed,2022 Passing Touchdowns Allowed,2022 Rushing Yards Allowed,2022 Rushing Touchdowns Allowed,2022 Penalties Committed,2022 Penalty Yards,2022 First Downs by Penalty,2022 Percent Drives Scored On,2022 Percent Drives Takeaway,2022 ST_Sacks,2022 ST_Interceptions,2022 ST_Fumble Recoveries,2022 ST_Forced Fumbles,2022 ST_Safeties,2022 ST_Special Teams Touchdowns,2022 Fantasy Points From Points,2022 XP2,2022 ESPN ADP,2022 Sleeper ADP,2022 NFL ADP,2022 RTSports ADP,2022 Average ADP,2022 Positional ADP,2022 PPR Fantasy Points Scored,2022 Standard Fantasy Points Scored,2023 Age,2023 Position,2023 Team,2023 Games Played,2023 Games Started,2023 Passing Attempts,2023 Passing Completions,2023 Passing Yards,2023 Passing Touchdowns,2023 Interceptions Thrown,2023 Rushing Attempts,2023 Rushing Yards,2023 Rushing Touchdowns,2023 Targets,2023 Receptions,2023 Receiving Yards,2023 Receiving Touchdowns,2023 Fumbles,2023 Field Goals Attempted 0-39,2023 Field Goals Made 0-39,2023 Field Goals Attempted 40-49,2023 Field Goals Made 40-49,2023 Field Goals Attempted 50+,2023 Field Goals Made 50+,2023 Field Goals Attempted,2023 Field Goals Made,2023 Extra Points Attempted,2023 Extra Points Made,2023 Total Yards Allowed,2023 Total Plays,2023 Takeaways,2023 First Downs Allowed,2023 Passing Yards Allowed,2023 Passing Touchdowns Allowed,2023 Rushing Yards Allowed,2023 Rushing Touchdowns Allowed,2023 Penalties Committed,2023 Penalty Yards,2023 First Downs by Penalty,2023 Percent Drives Scored On,2023 Percent Drives Takeaway,2023 ST_Sacks,2023 ST_Interceptions,2023 ST_Fumble Recoveries,2023 ST_Forced Fumbles,2023 ST_Safeties,2023 ST_Special Teams Touchdowns,2023 Fantasy Points From Points,2023 XP2,2023 ESPN ADP,2023 Sleeper ADP,2023 NFL ADP,2023 RTSports ADP,2023 Average ADP,2023 Positional ADP,2023 PPR Fantasy Points Scored,2023 Standard Fantasy Points Scored,2024 Age,2024 Position,2024 Team,2024 Games Played,2024 Games Started,2024 Passing Attempts,2024 Passing Completions,2024 Passing Yards,2024 Passing Touchdowns,2024 Interceptions Thrown,2024 Rushing Attempts,2024 Rushing Yards,2024 Rushing Touchdowns,2024 Targets,2024 Receptions,2024 Receiving Yards,2024 Receiving Touchdowns,2024 Fumbles,2024 Field Goals Attempted 0-39,2024 Field Goals Made 0-39,2024 Field Goals Attempted 40-49,2024 Field Goals Made 40-49,2024 Field Goals Attempted 50+,2024 Field Goals Made 50+,2024 Field Goals Attempted,2024 Field Goals Made,2024 Extra Points Attempted,2024 Extra Points Made,2024 Total Yards Allowed,2024 Total Plays,2024 Takeaways,2024 First Downs Allowed,2024 Passing Yards Allowed,2024 Passing Touchdowns Allowed,2024 Rushing Yards Allowed,2024 Rushing Touchdowns Allowed,2024 Penalties Committed,2024 Penalty Yards,2024 First Downs by Penalty,2024 Percent Drives Scored On,2024 Percent Drives Takeaway,2024 ST_Sacks,2024 ST_Interceptions,2024 ST_Fumble Recoveries,2024 ST_Forced Fumbles,2024 ST_Safeties,2024 ST_Special Teams Touchdowns,2024 Fantasy Points From Points,2024 XP2,2024 ESPN ADP,2024 Sleeper ADP,2024 NFL ADP,2024 RTSports ADP,2024 Average ADP,2024 Positional ADP,2024 PPR Fantasy Points Scored,2024 Standard Fantasy Points Scored
Samaje Perine,27.0,RB,CIN,16.0,2.0,,,,,,95.0,394.0,2.0,51.0,38.0,287.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,231.0,301.0,268.0,249.5,79.0,142.10000000000002,104.1,28.0,RB,DEN,17.0,1.0,,,,,,53.0,238.0,1.0,56.0,50.0,455.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,123.0,131.0,99.0,118.5,38.0,119.3,69.3,29.0,RB,KAN,17.0,0.0,,,,,,20.0,92.0,1.0,35.0,28.0,322.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,314.0,310.0,190.0,271.3,74.0,81.4,53.400000000000006
Sammy Watkins,29.0,WR,2TM,12.0,5.0,,,,,,0.0,0.0,0.0,27.0,16.0,325.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,183.0,224.0,235.0,217.0,76.0,46.5,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samori Toure,24.0,WR,GNB,11.0,2.0,,,,,,0.0,0.0,0.0,10.0,5.0,82.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301.0,17.200000000000003,12.2,25.0,WR,GNB,11.0,0.0,,,,,,0.0,0.0,0.0,18.0,8.0,78.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.0,301.0,301.0,301.0,424.0,138.0,13.8,5.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco 49ers DST,,DEF,SFO,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,5110.0,1026.0,30.0,291.0,3789.0,20.0,1321.0,11.0,96.0,832.0,26.0,25.7,15.3,44.0,20.0,10.0,13.0,0.0,3.0,27.0,,121.0,121.0,91.0,142.0,118.8,3.0,149.0,149.0,,DEF,SFO,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,5167.0,1038.0,28.0,319.0,3642.0,20.0,1525.0,10.0,94.0,762.0,32.0,33.9,15.5,48.0,22.0,6.0,10.0,1.0,1.0,18.0,,74.0,87.0,62.0,108.0,82.8,1.0,130.0,130.0,,DEF,SFO,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,5396.0,1029.0,17.0,320.0,3278.0,25.0,2118.0,24.0,79.0,624.0,21.0,44.4,9.0,48.0,22.0,6.0,10.0,1.0,1.0,-7.0,,102.0,143.0,65.0,149.0,116.0,1.0,105.0,105.0
Saquon Barkley,25.0,RB,NYG,16.0,16.0,,,,,,295.0,1312.0,10.0,76.0,57.0,338.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,19.0,23.0,13.0,20.3,12.0,280.0,223.00000000000003,26.0,RB,NYG,14.0,14.0,,,,,,247.0,962.0,6.0,60.0,41.0,280.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,9.0,7.0,6.0,7.8,3.0,223.2,182.2,27.0,RB,PHI,16.0,16.0,0.0,0.0,0.0,0.0,0.0,345.0,2005.0,13.0,43.0,33.0,278.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,11.0,10.0,9.0,9.2,4.0,353.3,320.3
Scott Miller,25.0,WR,TAM,15.0,1.0,,,,,,1.0,8.0,0.0,40.0,23.0,185.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301.0,42.3,19.3,26.0,WR,ATL,17.0,0.0,,,,,,0.0,0.0,0.0,16.0,11.0,161.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301.0,39.1,28.1,27.0,WR,PIT,13.0,1.0,,,,,,0.0,0.0,0.0,9.0,5.0,69.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301.0,11.9,6.9
Sean Clifford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,QB,GNB,2.0,0.0,1.0,1.0,37.0,0.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.0,301.0,301.0,301.0,303.0,43.0,-0.72,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean McKeon,25.0,TE,DAL,13.0,0.0,,,,,,0.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301.0,3.1,1.1,26.0,TE,DAL,9.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,RB,TAM,11.0,0.0,,,,,,15.0,23.0,0.0,2.0,2.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,198.0,198.0,59.0,5.200000000000001,3.2,23.0,RB,TAM,17.0,0.0,,,,,,50.0,308.0,2.0,12.0,9.0,109.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,469.0,301.0,469.0,104.0,66.69999999999999,57.7
Seattle Seahawks DST,,DEF,SEA,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,6149.0,1117.0,25.0,347.0,3595.0,23.0,2554.0,21.0,98.0,818.0,29.0,37.2,12.2,45.0,14.0,11.0,15.0,0.0,2.0,-1.0,,301.0,301.0,256.0,301.0,256.0,26.0,106.0,106.0,,DEF,SEA,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,6313.0,1147.0,19.0,380.0,3961.0,21.0,2352.0,24.0,103.0,824.0,35.0,40.4,10.4,47.0,11.0,8.0,12.0,0.0,3.0,0.0,,223.0,179.0,177.0,221.0,200.0,21.0,103.0,103.0,,DEF,SEA,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,5656.0,1065.0,18.0,329.0,3603.0,26.0,2053.0,11.0,121.0,958.0,29.0,34.0,9.3,47.0,11.0,8.0,12.0,0.0,4.0,5.0,,189.0,210.0,182.0,242.0,205.6,18.0,114.0,114.0
